,team,team_rating,player,hltv_rating,kills_rating,avg_opponent_rating
34,ENCE,1304.175832,sergej,1409.733832,1301.767906,1085.282242
35,NiP,1645.76146,f0rest,1789.358994,1658.40453,1514.08012
36,NiP,1645.76146,GeT_RiGhT,1481.689963,1507.106312,1514.08012
37,NiP,1645.76146,dennis,1637.114117,1596.025729,1517.325939
38,NiP,1645.76146,Lekr0,1658.737899,1608.651108,1515.489871
39,NiP,1645.76146,REZ,1661.906327,1657.567205,1517.325939
40,Cloud9,1425.759978,flusha,1580.883526,1623.845032,1536.276778
41,Cloud9,1425.759978,kioShiMa,1501.801264,1424.139984,1350.786974
42,Cloud9,1425.759978,RUSH,1343.238291,1364.028798,1361.862682
43,Cloud9,1425.759978,autimatic,1632.503271,1491.84274,1361.862682
44,Cloud9,1425.759978,Zellsis,1070.373536,1016.117094,916.5575464
45,Vitality,1312.26862,NBK-,1334.6871,1298.850295,1203.598159
46,Vitality,1312.26862,RpK,1159.476456,1156.631423,1163.54052
47,Vitality,1312.26862,apEX,1390.663863,1397.032292,1203.598159
48,Vitality,1312.26862,ALEX,1124.27364,1113.22151,1049.708658
49,Vitality,1312.26862,ZywOo,1552.242044,1355.618119,962.1995075
50,AVANGAR,1221.761813,fitch,1073.789268,1102.034337,1051.908069
51,AVANGAR,1221.761813,buster,1240.050216,1142.411529,1013.313015
52,AVANGAR,1221.761813,KrizzeN,1091.725417,1075.997086,1017.418362
53,AVANGAR,1221.761813,qikert,1216.69886,1145.734769,1015.954265
54,AVANGAR,1221.761813,Jame,1486.545305,1234.786308,1032.685038
55,compLexity,1199.485726,n0thing,1020.420348,1061.952939,1102.270546
56,compLexity,1199.485726,ShahZaM,1345.371204,1249.909567,1135.517245
57,compLexity,1199.485726,dephh,1163.276599,1179.983776,1103.276757
58,compLexity,1199.485726,stanislaw,1229.581331,1196.223765,1136.853967
59,compLexity,1199.485726,Rickeh,1238.779146,1206.451764,1127.508314
60,G2,1379.590645,JaCkz,1089.602311,1089.496624,972.7971926
61,G2,1379.590645,shox,1536.786658,1502.719614,1416.110657
62,G2,1379.590645,kennyS,1719.209798,1597.214115,1450.537679
63,G2,1379.590645,bodyy,1337.453803,1395.870709,1450.537679
64,G2,1379.590645,Lucky,1214.900657,1114.075338,966.0927318
65,HellRaisers,1559.477229,ANGE1,1285.005588,1420.881329,1438.927832
66,HellRaisers,1559.477229,Hobbit,1463.978352,1439.254687,1395.096542
67,HellRaisers,1559.477229,woxic,1965.272906,1760.617214,1423.610914
68,HellRaisers,1559.477229,DeadFox,1296.334687,1326.368493,1432.307198
69,HellRaisers,1559.477229,ISSAA,1786.794613,1609.661539,1429.44608
70,BIG,1618.026272,gob b,1403.593874,1366.014653,1424.652804
71,BIG,1618.026272,tabseN,1787.790072,1730.737657,1417.594428
72,BIG,1618.026272,tiziaN,1514.852778,1433.17249,1423.961381
73,BIG,1618.026272,nex,1738.08336,1612.753193,1416.056215
74,BIG,1618.026272,XANTARES,1645.811277,1717.155871,1360.774845
75,NRG,1552.687574,daps,1207.407664,1249.16669,1305.488967
