date,rank,team,score
2017-10-23,8,Liquid,503
2017-10-23,9,NiP,385
2017-10-23,10,100 Thieves,355
2017-10-23,11,mousesports,334
2017-10-23,12,fnatic,308
2017-10-23,13,Virtus.pro,279
2017-10-23,14,Envy,258
2017-10-23,15,Natus Vincere,252
2017-10-23,16,Heroic,251
2017-10-23,17,BIG,244
2017-10-23,18,Renegades,131
2017-10-23,19,CLG,119
2017-10-23,20,Space Soldiers,117
2017-10-23,21,Luminosity,87
2017-10-23,22,FlipSid3,82
2017-10-23,23,Vega Squadron,78
2017-10-23,24,LDLC,76
2017-10-23,25,Misfits,67
2017-10-23,26,AGO,67
2017-10-23,27,OpTic,66
2017-10-23,28,Seed,63
2017-10-23,29,HellRaisers,56
2017-10-23,30,NRG,54
2017-10-16,1,FaZe,985
2017-10-16,2,Astralis,787
2017-10-16,3,SK,759
2017-10-16,4,North,746
2017-10-16,5,G2,699
2017-10-16,6,Gambit,508
2017-10-16,7,Cloud9,487
2017-10-16,8,Liquid,483
2017-10-16,9,NiP,381
2017-10-16,10,fnatic,319
2017-10-16,11,mousesports,314
2017-10-16,12,Natus Vincere,302
2017-10-16,13,Virtus.pro,270
2017-10-16,14,Heroic,270
2017-10-16,15,Envy,268
2017-10-16,16,BIG,205
2017-10-16,17,HellRaisers,127
2017-10-16,18,Space Soldiers,122
2017-10-16,19,CLG,116
2017-10-16,20,Renegades,105
2017-10-16,21,FlipSid3,84
2017-10-16,22,Luminosity,84
2017-10-16,23,Vega Squadron,78
2017-10-16,24,OpTic,72
2017-10-16,25,Misfits,70
2017-10-16,26,AGO,69
2017-10-16,27,NRG,59
2017-10-16,28,Seed,58
2017-10-16,29,LDLC,57
2017-10-16,30,Kinguin,52
2017-10-09,1,SK,925
2017-10-09,2,G2,729
2017-10-09,3,North,698
2017-10-09,4,FaZe,647
2017-10-09,5,Astralis,607
2017-10-09,6,Liquid,603
2017-10-09,7,Gambit,580
2017-10-09,8,NiP,431
2017-10-09,9,Cloud9,426
2017-10-09,10,Natus Vincere,364
2017-10-09,11,mousesports,315
2017-10-09,12,Virtus.pro,306
2017-10-09,13,fnatic,262
2017-10-09,14,BIG,246
2017-10-09,15,Envy,241
2017-10-09,16,Heroic,202
2017-10-09,17,HellRaisers,163
2017-10-09,18,Space Soldiers,136
2017-10-09,19,CLG,134
2017-10-09,20,Renegades,132
2017-10-09,21,FlipSid3,101
2017-10-09,22,LDLC,91
2017-10-09,23,Luminosity,90
2017-10-09,24,OpTic,89
2017-10-09,25,Misfits,79
2017-10-09,26,NRG,77
2017-10-09,27,Kinguin,67
2017-10-09,28,AGO,62
2017-10-09,29,Vega Squadron,61
2017-10-09,30,AVANGAR,57
2017-10-02,1,SK,905
2017-10-02,2,G2,708
2017-10-02,3,North,697
2017-10-02,4,FaZe,615
2017-10-02,5,Astralis,593
2017-10-02,6,Gambit,578
2017-10-02,7,Liquid,565
2017-10-02,8,Cloud9,414
2017-10-02,9,NiP,403
2017-10-02,10,Natus Vincere,356
2017-10-02,11,Virtus.pro,303
2017-10-02,12,mousesports,288
2017-10-02,13,fnatic,247
2017-10-02,14,BIG,234
2017-10-02,15,Envy,204
2017-10-02,16,Heroic,204
2017-10-02,17,HellRaisers,132
2017-10-02,18,CLG,125
2017-10-02,19,Space Soldiers,121
2017-10-02,20,Renegades,117
2017-10-02,21,FlipSid3,113
2017-10-02,22,Luminosity,76
2017-10-02,23,Misfits,73
2017-10-02,24,LDLC,70
2017-10-02,25,PENTA,70
2017-10-02,26,Vega Squadron,69
2017-10-02,27,Kinguin,64
2017-10-02,28,NRG,62
2017-10-02,29,OpTic,55
2017-10-02,30,GODSENT,54
2017-09-25,1,SK,896
2017-09-25,2,G2,657
2017-09-25,3,North,635
2017-09-25,4,FaZe,598
2017-09-25,5,Astralis,558
2017-09-25,6,Liquid,526
2017-09-25,7,Gambit,509
2017-09-25,8,Cloud9,374
2017-09-25,9,NiP,348
2017-09-25,10,Natus Vincere,319
2017-09-25,11,Virtus.pro,272
2017-09-25,12,mousesports,256
2017-09-25,13,fnatic,242
2017-09-25,14,BIG,209
2017-09-25,15,Envy,176
2017-09-25,16,Heroic,151
2017-09-25,17,HellRaisers,120
2017-09-25,18,CLG,108
2017-09-25,19,Space Soldiers,106
2017-09-25,20,Renegades,101
2017-09-25,21,FlipSid3,100
2017-09-25,22,Luminosity,74
2017-09-25,23,PENTA,63
2017-09-25,24,Kinguin,62
2017-09-25,25,Misfits,62
2017-09-25,26,NRG,57
2017-09-25,27,LDLC,54
2017-09-25,28,eXtatus,54
2017-09-25,29,Vega Squadron,53
2017-09-25,30,AVANGAR,49
2017-09-18,1,SK,886
2017-09-18,2,G2,640
2017-09-18,3,North,638
2017-09-18,4,FaZe,581
2017-09-18,5,Astralis,556
2017-09-18,6,Liquid,502
2017-09-18,7,Gambit,479
2017-09-18,8,Immortals,451
2017-09-18,9,Cloud9,341
2017-09-18,10,NiP,336
2017-09-18,11,Natus Vincere,307
2017-09-18,12,Virtus.pro,278
2017-09-18,13,mousesports,252
2017-09-18,14,fnatic,238
2017-09-18,15,BIG,201
2017-09-18,16,Envy,156
2017-09-18,17,Heroic,130
2017-09-18,18,CLG,124
2017-09-18,19,Renegades,99
2017-09-18,20,HellRaisers,90
2017-09-18,21,FlipSid3,76
2017-09-18,22,Space Soldiers,68
2017-09-18,23,Luminosity,62
2017-09-18,24,PENTA,60
2017-09-18,25,Misfits,56
2017-09-18,26,Kinguin,54
2017-09-18,27,passions,50
2017-09-18,28,Vega Squadron,47
2017-09-18,29,eXtatus,47
2017-09-18,30,AVANGAR,43
2017-09-11,1,SK,890
2017-09-11,2,G2,671
2017-09-11,3,North,666
2017-09-11,4,Astralis,637
2017-09-11,5,Gambit,580
2017-09-11,6,Immortals,519
2017-09-11,7,NiP,345
2017-09-11,8,FaZe,337
2017-09-11,9,Liquid,331
2017-09-11,10,Virtus.pro,323
2017-09-11,11,Natus Vincere,305
2017-09-11,12,mousesports,274
2017-09-11,13,Cloud9,269
2017-09-11,14,fnatic,215
2017-09-11,15,BIG,213
2017-09-11,16,Envy,181
2017-09-11,17,Heroic,148
2017-09-11,18,CLG,128
2017-09-11,19,Renegades,110
2017-09-11,20,FlipSid3,107
2017-09-11,21,HellRaisers,101
2017-09-11,22,Space Soldiers,77
2017-09-11,23,PENTA,71
2017-09-11,24,Luminosity,62
2017-09-11,25,Kinguin,60
2017-09-11,26,Misfits,54
2017-09-11,27,GODSENT,52
2017-09-11,28,passions,50
2017-09-11,29,eXtatus,49
2017-09-11,30,Vega Squadron,47
2017-09-04,1,SK,886
2017-09-04,2,G2,737
2017-09-04,3,Astralis,670
2017-09-04,4,North,662
2017-09-04,5,Gambit,658
2017-09-04,6,Immortals,505
2017-09-04,7,NiP,396
2017-09-04,8,FaZe,333
2017-09-04,9,Natus Vincere,306
2017-09-04,10,Virtus.pro,303
2017-09-04,11,Cloud9,252
2017-09-04,12,Liquid,236
2017-09-04,13,Envy,236
2017-09-04,14,fnatic,227
2017-09-04,15,BIG,218
2017-09-04,16,Heroic,173
2017-09-04,17,mousesports,125
2017-09-04,18,FlipSid3,120
2017-09-04,19,Renegades,117
2017-09-04,20,HellRaisers,100
2017-09-04,21,Space Soldiers,90
2017-09-04,22,CLG,90
2017-09-04,23,PENTA,75
2017-09-04,24,passions,75
2017-09-04,25,Kinguin,55
2017-09-04,26,Vega Squadron,52
2017-09-04,27,Misfits,52
2017-09-04,28,Epsilon,46
2017-09-04,29,OpTic,46
2017-09-04,30,GODSENT,45
2017-08-28,1,SK,1000
2017-08-28,2,Astralis,634
2017-08-28,3,Gambit,537
2017-08-28,4,Immortals,454
2017-08-28,5,G2,434
2017-08-28,6,FaZe,382
2017-08-28,7,North,358
2017-08-28,8,Virtus.pro,337
2017-08-28,9,Liquid,292
2017-08-28,10,Cloud9,291
2017-08-28,11,Natus Vincere,273
2017-08-28,12,Envy,273
2017-08-28,13,NiP,268
2017-08-28,14,BIG,237
2017-08-28,15,fnatic,236
2017-08-28,16,Heroic,205
2017-08-28,17,mousesports,148
2017-08-28,18,FlipSid3,142
2017-08-28,19,Space Soldiers,118
2017-08-28,20,HellRaisers,111
2017-08-28,21,Renegades,104
2017-08-28,22,CLG,95
2017-08-28,23,PENTA,86
2017-08-28,24,Red Reserve,79
2017-08-28,25,Misfits,75
2017-08-28,26,Kinguin,70
2017-08-28,27,TYLOO,57
2017-08-28,28,Vega Squadron,57
2017-08-28,29,HAVU,56
2017-08-28,30,Imperial,55
2017-08-21,1,SK,1000
2017-08-21,2,Astralis,634
2017-08-21,3,Gambit,517
2017-08-21,4,Immortals,442
2017-08-21,5,G2,435
2017-08-21,6,FaZe,342
2017-08-21,7,Virtus.pro,330
2017-08-21,8,North,320
2017-08-21,9,Cloud9,304
2017-08-21,10,BIG,274
2017-08-21,11,Natus Vincere,273
2017-08-21,12,NiP,271
2017-08-21,13,Liquid,266
2017-08-21,14,Envy,244
2017-08-21,15,fnatic,204
2017-08-21,16,mousesports,165
2017-08-21,17,Heroic,165
2017-08-21,18,FlipSid3,152
2017-08-21,19,HellRaisers,104
2017-08-21,20,PENTA,103
2017-08-21,21,Space Soldiers,91
2017-08-21,22,Renegades,90
2017-08-21,23,CLG,83
2017-08-21,24,Vega Squadron,81
2017-08-21,25,Dignitas,71
2017-08-21,26,Red Reserve,69
2017-08-21,27,Misfits,62
2017-08-21,28,TYLOO,58
2017-08-21,29,Kinguin,53
2017-08-21,30,HAVU,49
2017-08-14,1,SK,1000
2017-08-14,2,Astralis,600
2017-08-14,3,Gambit,472
2017-08-14,4,FaZe,432
2017-08-14,5,G2,414
2017-08-14,6,Cloud9,412
2017-08-14,7,Immortals,397
2017-08-14,8,Virtus.pro,315
2017-08-14,9,North,295
2017-08-14,10,fnatic,257
2017-08-14,11,Liquid,252
2017-08-14,12,NiP,243
2017-08-14,13,BIG,237
2017-08-14,14,Natus Vincere,236
2017-08-14,15,Envy,178
2017-08-14,16,OpTic,168
2017-08-14,17,Heroic,143
2017-08-14,18,mousesports,136
2017-08-14,19,FlipSid3,118
2017-08-14,20,HellRaisers,90
2017-08-14,21,Renegades,89
2017-08-14,22,PENTA,87
2017-08-14,23,CLG,79
2017-08-14,24,Space Soldiers,75
2017-08-14,25,Red Reserve,74
2017-08-14,26,Vega Squadron,69
2017-08-14,27,Dignitas,54
2017-08-14,28,Misfits,51
2017-08-14,29,GODSENT,47
2017-08-14,30,TYLOO,43
2017-08-07,1,SK,1000
2017-08-07,2,Astralis,606
2017-08-07,3,Gambit,525
2017-08-07,4,FaZe,441
2017-08-07,5,G2,410
2017-08-07,6,Cloud9,397
2017-08-07,7,Immortals,390
2017-08-07,8,Virtus.pro,313
2017-08-07,9,North,275
2017-08-07,10,fnatic,259
2017-08-07,11,Liquid,239
2017-08-07,12,BIG,239
2017-08-07,13,NiP,236
2017-08-07,14,OpTic,209
2017-08-07,15,Natus Vincere,191
2017-08-07,16,Envy,164
2017-08-07,17,mousesports,163
2017-08-07,18,HellRaisers,141
2017-08-07,19,Heroic,135
2017-08-07,20,FlipSid3,116
2017-08-07,21,PENTA,93
2017-08-07,22,Renegades,89
2017-08-07,23,CLG,85
2017-08-07,24,Space Soldiers,74
2017-08-07,25,Red Reserve,72
2017-08-07,26,Vega Squadron,66
2017-08-07,27,Chiefs,65
2017-08-07,28,Misfits,65
2017-08-07,29,Dignitas,59
2017-08-07,30,GODSENT,46
2017-07-31,1,SK,1000
2017-07-31,2,Astralis,609
2017-07-31,3,FaZe,526
2017-07-31,4,Gambit,524
2017-07-31,5,G2,437
2017-07-31,6,Immortals,409
2017-07-31,7,Cloud9,407
2017-07-31,8,North,320
2017-07-31,9,Virtus.pro,310
2017-07-31,10,fnatic,258
2017-07-31,11,Liquid,245
2017-07-31,12,NiP,233
2017-07-31,13,BIG,231
2017-07-31,14,OpTic,217
2017-07-31,15,mousesports,207
2017-07-31,16,Natus Vincere,191
2017-07-31,17,Envy,168
2017-07-31,18,HellRaisers,142
2017-07-31,19,Heroic,135
2017-07-31,20,FlipSid3,116
2017-07-31,21,PENTA,111
2017-07-31,22,CLG,106
2017-07-31,23,Renegades,83
2017-07-31,24,Vega Squadron,75
2017-07-31,25,Space Soldiers,74
2017-07-31,26,Red Reserve,69
2017-07-31,27,Chiefs,65
2017-07-31,28,Misfits,62
2017-07-31,29,Dignitas,55
2017-07-31,30,GODSENT,50
2017-07-24,1,SK,1000
2017-07-24,2,Astralis,607
2017-07-24,3,FaZe,524
2017-07-24,4,Gambit,505
2017-07-24,5,G2,462
2017-07-24,6,Immortals,411
2017-07-24,7,Cloud9,396
2017-07-24,8,North,349
2017-07-24,9,Virtus.pro,309
2017-07-24,10,Natus Vincere,277
2017-07-24,11,fnatic,262
2017-07-24,12,Liquid,254
2017-07-24,13,NiP,229
2017-07-24,14,BIG,226
2017-07-24,15,mousesports,221
2017-07-24,16,OpTic,220
2017-07-24,17,Envy,201
2017-07-24,18,HellRaisers,140
2017-07-24,19,Heroic,139
2017-07-24,20,PENTA,111
2017-07-24,21,FlipSid3,111
2017-07-24,22,CLG,103
2017-07-24,23,Renegades,90
2017-07-24,24,Vega Squadron,72
2017-07-24,25,Red Reserve,71
2017-07-24,26,Space Soldiers,68
2017-07-24,27,Chiefs,62
2017-07-24,28,Misfits,61
2017-07-24,29,Dignitas,53
2017-07-24,30,GODSENT,49
2017-07-17,1,SK,1000
2017-07-17,2,FaZe,588
2017-07-17,3,Astralis,500
2017-07-17,4,G2,468
2017-07-17,5,Cloud9,398
2017-07-17,6,North,288
2017-07-17,7,Natus Vincere,286
2017-07-17,8,Liquid,256
2017-07-17,9,OpTic,234
2017-07-17,10,NiP,233
2017-07-17,11,Immortals,220
2017-07-17,12,mousesports,208
2017-07-17,13,fnatic,200
2017-07-17,14,Gambit,190
2017-07-17,15,Virtus.pro,186
2017-07-17,16,Envy,138
2017-07-17,17,BIG,136
2017-07-17,18,HellRaisers,119
2017-07-17,19,CLG,103
2017-07-17,20,Heroic,96
2017-07-17,21,PENTA,89
2017-07-17,22,Red Reserve,76
2017-07-17,23,Space Soldiers,71
2017-07-17,24,Vega Squadron,71
2017-07-17,25,FlipSid3,70
2017-07-17,26,Renegades,64
2017-07-17,27,Chiefs,58
2017-07-17,28,Dignitas,52
2017-07-17,29,Misfits,49
2017-07-17,30,TYLOO,47
2017-07-10,1,SK,1000
2017-07-10,2,FaZe,623
2017-07-10,3,Astralis,518
2017-07-10,4,G2,474
2017-07-10,5,Cloud9,427
2017-07-10,6,Natus Vincere,295
2017-07-10,7,North,294
2017-07-10,8,Liquid,269
2017-07-10,9,OpTic,243
2017-07-10,10,Immortals,225
2017-07-10,11,fnatic,209
2017-07-10,12,mousesports,200
2017-07-10,13,NiP,185
2017-07-10,14,Virtus.pro,181
2017-07-10,15,Gambit,177
2017-07-10,16,HellRaisers,128
2017-07-10,17,BIG,127
2017-07-10,18,Envy,119
2017-07-10,19,CLG,111
2017-07-10,20,PENTA,106
2017-07-10,21,Heroic,86
2017-07-10,22,Space Soldiers,78
2017-07-10,23,FlipSid3,76
2017-07-10,24,Vega Squadron,74
2017-07-10,25,Renegades,62
2017-07-10,26,Dignitas,59
2017-07-10,27,Chiefs,59
2017-07-10,28,Misfits,57
2017-07-10,29,TYLOO,51
2017-07-10,30,GODSENT,50
2017-07-03,1,SK,982
2017-07-03,2,FaZe,758
2017-07-03,3,Astralis,718
2017-07-03,4,G2,605
2017-07-03,5,North,408
2017-07-03,6,Cloud9,371
2017-07-03,7,fnatic,300
2017-07-03,8,Immortals,285
2017-07-03,9,Liquid,276
2017-07-03,10,Natus Vincere,267
2017-07-03,11,Virtus.pro,241
2017-07-03,12,mousesports,229
2017-07-03,13,OpTic,224
2017-07-03,14,Gambit,222
2017-07-03,15,HellRaisers,216
2017-07-03,16,Envy,191
2017-07-03,17,CLG,184
2017-07-03,18,BIG,181
2017-07-03,19,PENTA,164
2017-07-03,20,NiP,98
2017-07-03,21,Vega Squadron,97
2017-07-03,22,FlipSid3,93
2017-07-03,23,Renegades,93
2017-07-03,24,Misfits,89
2017-07-03,25,Dignitas,84
2017-07-03,26,Heroic,78
2017-07-03,27,GODSENT,77
2017-07-03,28,Space Soldiers,75
2017-07-03,29,Chiefs,65
2017-07-03,30,TYLOO,64
2017-06-26,1,SK,989
2017-06-26,2,FaZe,766
2017-06-26,3,Astralis,717
2017-06-26,4,G2,525
2017-06-26,5,North,372
2017-06-26,6,Cloud9,314
2017-06-26,7,fnatic,269
2017-06-26,8,Natus Vincere,253
2017-06-26,9,Liquid,250
2017-06-26,10,Virtus.pro,240
2017-06-26,11,OpTic,238
2017-06-26,12,Gambit,234
2017-06-26,13,Immortals,228
2017-06-26,14,HellRaisers,208
2017-06-26,15,mousesports,188
2017-06-26,16,CLG,170
2017-06-26,17,Envy,152
2017-06-26,18,BIG,113
2017-06-26,19,PENTA,104
2017-06-26,20,Misfits,98
2017-06-26,21,NiP,92
2017-06-26,22,Chiefs,84
2017-06-26,23,Renegades,77
2017-06-26,24,Heroic,70
2017-06-26,25,Space Soldiers,67
2017-06-26,26,Dignitas,61
2017-06-26,27,GODSENT,54
2017-06-26,28,Red Reserve,54
2017-06-26,29,NRG,52
2017-06-26,30,Outlaws,46
2017-06-19,1,SK,876
2017-06-19,2,Astralis,790
2017-06-19,3,FaZe,763
2017-06-19,4,G2,652
2017-06-19,5,North,493
2017-06-19,6,fnatic,347
2017-06-19,7,OpTic,336
2017-06-19,8,Natus Vincere,323
2017-06-19,9,Gambit,320
2017-06-19,10,Virtus.pro,318
2017-06-19,11,Immortals,309
2017-06-19,12,HellRaisers,261
2017-06-19,13,mousesports,260
2017-06-19,14,Liquid,239
2017-06-19,15,Cloud9,235
2017-06-19,16,CLG,225
2017-06-19,17,Envy,203
2017-06-19,18,BIG,140
2017-06-19,19,PENTA,134
2017-06-19,20,Misfits,128
2017-06-19,21,NiP,119
2017-06-19,22,Heroic,104
2017-06-19,23,Chiefs,101
2017-06-19,24,Renegades,93
2017-06-19,25,Space Soldiers,80
2017-06-19,26,Dignitas,74
2017-06-19,27,GODSENT,69
2017-06-19,28,NRG,61
2017-06-19,29,Red Reserve,59
2017-06-19,30,TYLOO,56
2017-06-12,1,SK,830
2017-06-12,2,FaZe,785
2017-06-12,3,Astralis,780
2017-06-12,4,G2,676
2017-06-12,5,North,523
2017-06-12,6,Gambit,353
2017-06-12,7,OpTic,327
2017-06-12,8,Natus Vincere,324
2017-06-12,9,Virtus.pro,285
2017-06-12,10,HellRaisers,283
2017-06-12,11,fnatic,263
2017-06-12,12,Cloud9,261
2017-06-12,13,mousesports,256
2017-06-12,14,Immortals,256
2017-06-12,15,Liquid,254
2017-06-12,16,Envy,196
2017-06-12,17,NiP,185
2017-06-12,18,CLG,177
2017-06-12,19,Heroic,118
2017-06-12,20,Chiefs,104
2017-06-12,21,PENTA,99
2017-06-12,22,Renegades,99
2017-06-12,23,BIG,86
2017-06-12,24,Misfits,79
2017-06-12,25,Space Soldiers,77
2017-06-12,26,GODSENT,73
2017-06-12,27,NRG,64
2017-06-12,28,Red Reserve,60
2017-06-12,29,TYLOO,54
2017-06-12,30,Luminosity,53
2017-06-05,1,Astralis,854
2017-06-05,2,FaZe,791
2017-06-05,3,SK,749
2017-06-05,4,G2,615
2017-06-05,5,North,487
2017-06-05,6,Natus Vincere,324
2017-06-05,7,Gambit,310
2017-06-05,8,Virtus.pro,307
2017-06-05,9,OpTic,292
2017-06-05,10,fnatic,256
2017-06-05,11,HellRaisers,242
2017-06-05,12,Liquid,242
2017-06-05,13,mousesports,240
2017-06-05,14,Immortals,234
2017-06-05,15,Cloud9,219
2017-06-05,16,NiP,186
2017-06-05,17,Envy,169
2017-06-05,18,CLG,150
2017-06-05,19,Heroic,135
2017-06-05,20,Renegades,95
2017-06-05,21,Chiefs,90
2017-06-05,22,BIG,89
2017-06-05,23,PENTA,84
2017-06-05,24,Misfits,77
2017-06-05,25,GODSENT,75
2017-06-05,26,Space Soldiers,68
2017-06-05,27,Singularity,56
2017-06-05,28,LDLC,55
2017-06-05,29,Tricked,54
2017-06-05,30,Kinguin,53
2017-05-29,1,Astralis,900
2017-05-29,2,FaZe,849
2017-05-29,3,SK,653
2017-05-29,4,G2,408
2017-05-29,5,North,349
2017-05-29,6,Natus Vincere,336
2017-05-29,7,Virtus.pro,311
2017-05-29,8,Gambit,301
2017-05-29,9,HellRaisers,283
2017-05-29,10,OpTic,275
2017-05-29,11,fnatic,253
2017-05-29,12,Cloud9,215
2017-05-29,13,NiP,199
2017-05-29,14,Immortals,194
2017-05-29,15,mousesports,175
2017-05-29,16,CLG,165
2017-05-29,17,Heroic,134
2017-05-29,18,Misfits,124
2017-05-29,19,Liquid,115
2017-05-29,20,Chiefs,90
2017-05-29,21,BIG,88
2017-05-29,22,Renegades,78
2017-05-29,23,PENTA,77
2017-05-29,24,GODSENT,74
2017-05-29,25,Envy,72
2017-05-29,26,Space Soldiers,71
2017-05-29,27,Tricked,56
2017-05-29,28,LDLC,55
2017-05-29,29,Singularity,53
2017-05-29,30,Kinguin,52
2017-05-22,1,Astralis,923
2017-05-22,2,FaZe,843
2017-05-22,3,SK,699
2017-05-22,4,Virtus.pro,452
2017-05-22,5,G2,417
2017-05-22,6,North,399
2017-05-22,7,Natus Vincere,356
2017-05-22,8,Gambit,325
2017-05-22,9,HellRaisers,305
2017-05-22,10,OpTic,291
2017-05-22,11,fnatic,242
2017-05-22,12,Cloud9,230
2017-05-22,13,NiP,208
2017-05-22,14,mousesports,196
2017-05-22,15,Immortals,185
2017-05-22,16,CLG,175
2017-05-22,17,Heroic,133
2017-05-22,18,Misfits,120
2017-05-22,19,Liquid,116
2017-05-22,20,PENTA,99
2017-05-22,21,Chiefs,90
2017-05-22,22,Renegades,85
2017-05-22,23,BIG,82
2017-05-22,24,Singularity,80
2017-05-22,25,GODSENT,75
2017-05-22,26,Envy,73
2017-05-22,27,Tricked,67
2017-05-22,28,Luminosity,50
2017-05-22,29,NRG,48
2017-05-22,30,Space Soldiers,44
2017-05-15,1,Astralis,920
2017-05-15,2,FaZe,821
2017-05-15,3,SK,713
2017-05-15,4,Virtus.pro,463
2017-05-15,5,G2,435
2017-05-15,6,North,407
2017-05-15,7,Natus Vincere,373
2017-05-15,8,HellRaisers,340
2017-05-15,9,Gambit,330
2017-05-15,10,OpTic,297
2017-05-15,11,fnatic,249
2017-05-15,12,Cloud9,234
2017-05-15,13,NiP,233
2017-05-15,14,Heroic,204
2017-05-15,15,mousesports,196
2017-05-15,16,Immortals,189
2017-05-15,17,CLG,179
2017-05-15,18,Misfits,122
2017-05-15,19,Liquid,106
2017-05-15,20,Chiefs,91
2017-05-15,21,PENTA,90
2017-05-15,22,Renegades,83
2017-05-15,23,Envy,79
2017-05-15,24,Tricked,76
2017-05-15,25,Singularity,75
2017-05-15,26,GODSENT,70
2017-05-15,27,BIG,70
2017-05-15,28,NRG,54
2017-05-15,29,Luminosity,49
2017-05-15,30,LDLC,46
2017-05-08,1,Astralis,945
2017-05-08,2,FaZe,838
2017-05-08,3,SK,730
2017-05-08,4,Virtus.pro,466
2017-05-08,5,G2,434
2017-05-08,6,North,421
2017-05-08,7,Natus Vincere,377
2017-05-08,8,HellRaisers,352
2017-05-08,9,Gambit,331
2017-05-08,10,OpTic,290
2017-05-08,11,Immortals,287
2017-05-08,12,fnatic,241
2017-05-08,13,NiP,237
2017-05-08,14,Cloud9,215
2017-05-08,15,mousesports,199
2017-05-08,16,Heroic,194
2017-05-08,17,CLG,175
2017-05-08,18,Misfits,118
2017-05-08,19,Liquid,101
2017-05-08,20,Chiefs,89
2017-05-08,21,Renegades,82
2017-05-08,22,Tricked,78
2017-05-08,23,Singularity,69
2017-05-08,24,GODSENT,56
2017-05-08,25,BIG,56
2017-05-08,26,Luminosity,54
2017-05-08,27,PENTA,53
2017-05-08,28,Envy,52
2017-05-08,29,Space Soldiers,46
2017-05-08,30,LDLC,43
2017-05-01,1,Astralis,947
2017-05-01,2,FaZe,728
2017-05-01,3,Virtus.pro,540
2017-05-01,4,SK,526
2017-05-01,5,North,441
2017-05-01,6,Natus Vincere,422
2017-05-01,7,Gambit,357
2017-05-01,8,G2,354
2017-05-01,9,HellRaisers,304
2017-05-01,10,Immortals,286
2017-05-01,11,fnatic,285
2017-05-01,12,NiP,248
2017-05-01,13,OpTic,247
2017-05-01,14,Cloud9,223
2017-05-01,15,Heroic,208
2017-05-01,16,CLG,177
2017-05-01,17,mousesports,137
2017-05-01,18,Liquid,110
2017-05-01,19,Singularity,77
2017-05-01,20,GODSENT,76
2017-05-01,21,BIG,68
2017-05-01,22,Envy,66
2017-05-01,23,Renegades,65
2017-05-01,24,Tricked,60
2017-05-01,25,PENTA,60
2017-05-01,26,Space Soldiers,58
2017-05-01,27,Kinguin,58
2017-05-01,28,FlipSid3,56
2017-05-01,29,Luminosity,56
2017-05-01,30,LDLC,55
2017-04-24,1,Astralis,1000
2017-04-24,2,FaZe,701
2017-04-24,3,Virtus.pro,537
2017-04-24,4,SK,525
2017-04-24,5,Natus Vincere,444
2017-04-24,6,North,424
2017-04-24,7,Immortals,293
2017-04-24,8,HellRaisers,288
2017-04-24,9,G2,279
2017-04-24,10,fnatic,270
2017-04-24,11,Gambit,250
2017-04-24,12,NiP,242
2017-04-24,13,OpTic,229
2017-04-24,14,Cloud9,219
2017-04-24,15,Heroic,215
2017-04-24,16,CLG,149
2017-04-24,17,Liquid,105
2017-04-24,18,mousesports,100
2017-04-24,19,Kinguin,81
2017-04-24,20,Singularity,68
2017-04-24,21,GODSENT,67
2017-04-24,22,Space Soldiers,64
2017-04-24,23,BIG,63
2017-04-24,24,Renegades,58
2017-04-24,25,LDLC,57
2017-04-24,26,FlipSid3,53
2017-04-24,27,Tricked,50
2017-04-24,28,PENTA,46
2017-04-24,29,Luminosity,45
2017-04-24,30,NRG,45
2017-04-17,1,Astralis,1000
2017-04-17,2,FaZe,692
2017-04-17,3,Virtus.pro,558
2017-04-17,4,SK,460
2017-04-17,5,Natus Vincere,448
2017-04-17,6,North,410
2017-04-17,7,Immortals,281
2017-04-17,8,HellRaisers,280
2017-04-17,9,fnatic,269
2017-04-17,10,G2,266
2017-04-17,11,NiP,222
2017-04-17,12,Heroic,207
2017-04-17,13,Cloud9,193
2017-04-17,14,Gambit,185
2017-04-17,15,OpTic,152
2017-04-17,16,CLG,140
2017-04-17,17,mousesports,99
2017-04-17,18,Liquid,71
2017-04-17,19,Kinguin,69
2017-04-17,20,BIG,69
2017-04-17,21,Space Soldiers,66
2017-04-17,22,Singularity,65
2017-04-17,23,GODSENT,60
2017-04-17,24,FlipSid3,55
2017-04-17,25,Renegades,50
2017-04-17,26,NRG,50
2017-04-17,27,Epsilon,47
2017-04-17,28,MVP Project,47
2017-04-17,29,Tricked,46
2017-04-17,30,LDLC,46
2017-04-10,1,Astralis,1000
2017-04-10,2,FaZe,663
2017-04-10,3,Virtus.pro,601
2017-04-10,4,SK,493
2017-04-10,5,Natus Vincere,442
2017-04-10,6,North,431
2017-04-10,7,HellRaisers,280
2017-04-10,8,Immortals,259
2017-04-10,9,fnatic,256
2017-04-10,10,G2,228
2017-04-10,11,NiP,226
2017-04-10,12,Gambit,200
2017-04-10,13,Heroic,199
2017-04-10,14,Cloud9,186
2017-04-10,15,OpTic,156
2017-04-10,16,CLG,136
2017-04-10,17,mousesports,128
2017-04-10,18,Space Soldiers,65
2017-04-10,19,Kinguin,63
2017-04-10,20,Liquid,55
2017-04-10,21,FlipSid3,54
2017-04-10,22,BIG,53
2017-04-10,23,MVP Project,45
2017-04-10,24,GODSENT,45
2017-04-10,25,Renegades,44
2017-04-10,26,fnatic Academy,43
